"col0","URL for col0","col1"
"errorStatus","file:///opt/src/modules/orionode/lib/cf/apps.js:277:28:277:38","Predicted NoSQL injection sink"
"errorStatus","file:///opt/src/modules/orionode/lib/cf/apps.js:567:27:567:37","Predicted NoSQL injection sink"
"{""messa ... rget.""}","file:///opt/src/modules/orionode/lib/cf/extService.js:52:53:52:185","Predicted NoSQL injection sink"
"params","file:///opt/src/modules/orionode/lib/file.js:130:49:130:54","Predicted NoSQL injection sink"
"{origin ... e.path}","file:///opt/src/modules/orionode/lib/fileUtil.js:667:63:667:87","Predicted NoSQL injection sink"
"{projec ... e.path}","file:///opt/src/modules/orionode/lib/git/clone.js:436:63:436:128","Predicted NoSQL injection sink"
"{projec ... e.path}","file:///opt/src/modules/orionode/lib/git/clone.js:786:61:786:126","Predicted NoSQL injection sink"
"paths","file:///opt/src/modules/orionode/lib/git/index.js:157:43:157:47","Predicted NoSQL injection sink"
"refSpec ...  : null","file:///opt/src/modules/orionode/lib/git/remotes.js:303:4:303:29","Predicted NoSQL injection sink"
"{locati ... d: hub}","file:///opt/src/modules/orionode/lib/shared/db/sharedProjects.js:95:61:95:91","Predicted NoSQL injection sink"
"{callba ... || """")}","file:///opt/src/modules/orionode/lib/user.js:306:43:306:160","Predicted NoSQL injection sink"
"{callba ... || """")}","file:///opt/src/modules/orionode/lib/user.js:336:43:336:160","Predicted NoSQL injection sink"
"{ passw ... sword }","file:///opt/src/modules/orionode/lib/user.js:527:26:527:50","Predicted NoSQL injection sink"
"{name:  ... paceId}","file:///opt/src/modules/orionode/lib/workspace.js:121:34:121:71","Predicted NoSQL injection sink"
"msg","file:///opt/src/modules/orionode.collab.hub/session.js:126:39:126:41","Predicted NoSQL injection sink"
