Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,0/0=0.000,2297/2297,0/2297=0.0000,0.0000
0.1,0/0=0.000,2296/2296,0/2296=0.0000,0.0000
0.2,0/0=0.000,1847/1847,0/1847=0.0000,0.0000
0.3,0/0=0.000,733/733,0/733=0.0000,0.0000
0.4,0/0=0.000,299/299,0/299=0.0000,0.0000
0.5,0/0=0.000,0/0,0/0=0.0000,0.0000
0.6,0/0=0.000,0/0,0/0=0.0000,0.0000
0.7,0/0=0.000,0/0,0/0=0.0000,0.0000
0.8,0/0=0.000,0/0,0/0=0.0000,0.0000
0.9,0/0=0.000,0/0,0/0=0.0000,0.0000
