Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,490/1216=0.403,3517/24839,490/24839=0.0197,0.0376
0.1,490/1216=0.403,2370/13356,490/13356=0.0367,0.0673
0.2,490/1216=0.403,1771/7680,490/7680=0.0638,0.1102
0.3,489/1216=0.402,496/3075,489/3075=0.1590,0.2279
0.4,463/1216=0.381,309/2089,463/2089=0.2216,0.2802
0.5,4/1216=0.003,9/338,4/338=0.0118,0.0051
0.6,4/1216=0.003,4/275,4/275=0.0145,0.0054
0.7,4/1216=0.003,2/259,4/259=0.0154,0.0054
0.8,4/1216=0.003,0/63,4/63=0.0635,0.0063
0.9,4/1216=0.003,0/63,4/63=0.0635,0.0063
