Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,2406/2543=0.946,41825/729856,2406/729856=0.0033,0.0066
0.1,1961/2543=0.771,34318/425371,1961/425371=0.0046,0.0092
0.2,1435/2543=0.564,25712/238294,1435/238294=0.0060,0.0119
0.3,896/2543=0.352,19480/110095,896/110095=0.0081,0.0159
0.4,333/2543=0.131,8205/46622,333/46622=0.0071,0.0135
0.5,259/2543=0.102,3556/15316,259/15316=0.0169,0.0290
0.6,8/2543=0.003,740/6860,8/6860=0.0012,0.0017
0.7,2/2543=0.001,580/3566,2/3566=0.0006,0.0007
0.8,0/2543=0.000,554/2563,0/2563=0.0000,0.0000
0.9,0/2543=0.000,520/2236,0/2236=0.0000,0.0000
