Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,0/0=0.000,6874/6874,0/6874=0.0000,0.0000
0.1,0/0=0.000,6852/6852,0/6852=0.0000,0.0000
0.2,0/0=0.000,5397/5397,0/5397=0.0000,0.0000
0.3,0/0=0.000,1690/1690,0/1690=0.0000,0.0000
0.4,0/0=0.000,597/597,0/597=0.0000,0.0000
0.5,0/0=0.000,0/0,0/0=0.0000,0.0000
0.6,0/0=0.000,0/0,0/0=0.0000,0.0000
0.7,0/0=0.000,0/0,0/0=0.0000,0.0000
0.8,0/0=0.000,0/0,0/0=0.0000,0.0000
0.9,0/0=0.000,0/0,0/0=0.0000,0.0000
