Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,490/1216=0.403,213/835,490/835=0.5868,0.4778
0.1,490/1216=0.403,213/835,490/835=0.5868,0.4778
0.2,490/1216=0.403,212/829,490/829=0.5911,0.4792
0.3,489/1216=0.402,211/804,489/804=0.6082,0.4842
0.4,463/1216=0.381,126/674,463/674=0.6869,0.4899
0.5,7/1216=0.006,0/37,7/37=0.1892,0.0112
0.6,7/1216=0.006,0/37,7/37=0.1892,0.0112
0.7,7/1216=0.006,0/37,7/37=0.1892,0.0112
0.8,7/1216=0.006,0/37,7/37=0.1892,0.0112
0.9,7/1216=0.006,0/37,7/37=0.1892,0.0112
