Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,415/2543=0.163,8326/201906,415/201906=0.0021,0.0041
0.1,303/2543=0.119,5623/88608,303/88608=0.0034,0.0066
0.2,220/2543=0.087,3696/43936,220/43936=0.0050,0.0095
0.3,92/2543=0.036,1853/20759,92/20759=0.0044,0.0079
0.4,53/2543=0.021,1484/11090,53/11090=0.0048,0.0078
0.5,2/2543=0.001,539/3115,2/3115=0.0006,0.0007
0.6,2/2543=0.001,532/1542,2/1542=0.0013,0.0010
0.7,2/2543=0.001,497/1413,2/1413=0.0014,0.0010
0.8,0/2543=0.000,497/1330,0/1330=0.0000,0.0000
0.9,0/2543=0.000,497/1325,0/1325=0.0000,0.0000
