Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,0/0=0.000,2316/2316,0/2316=0.0000,0.0000
0.1,0/0=0.000,2315/2315,0/2315=0.0000,0.0000
0.2,0/0=0.000,1868/1868,0/1868=0.0000,0.0000
0.3,0/0=0.000,748/748,0/748=0.0000,0.0000
0.4,0/0=0.000,303/303,0/303=0.0000,0.0000
0.5,0/0=0.000,1/1,0/1=0.0000,0.0000
0.6,0/0=0.000,1/1,0/1=0.0000,0.0000
0.7,0/0=0.000,0/0,0/0=0.0000,0.0000
0.8,0/0=0.000,0/0,0/0=0.0000,0.0000
0.9,0/0=0.000,0/0,0/0=0.0000,0.0000
