Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,1216/1216=1.000,11321/138522,1216/138522=0.0088,0.0174
0.1,1216/1216=1.000,8565/85478,1216/85478=0.0142,0.0281
0.2,1210/1216=0.995,7101/56440,1210/56440=0.0214,0.0420
0.3,1197/1216=0.984,6295/36894,1197/36894=0.0324,0.0628
0.4,1175/1216=0.966,5597/25530,1175/25530=0.0460,0.0879
0.5,428/1216=0.352,4727/14815,428/14815=0.0289,0.0534
0.6,422/1216=0.347,4185/11591,422/11591=0.0364,0.0659
0.7,396/1216=0.326,3302/10074,396/10074=0.0393,0.0702
0.8,396/1216=0.326,3/920,396/920=0.4304,0.3708
0.9,396/1216=0.326,0/853,396/853=0.4642,0.3828
