Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,104/115=0.904,68903/444137,104/444137=0.0002,0.0005
0.1,104/115=0.904,66085/406049,104/406049=0.0003,0.0005
0.2,103/115=0.896,55421/327803,103/327803=0.0003,0.0006
0.3,31/115=0.270,46444/274897,31/274897=0.0001,0.0002
0.4,31/115=0.270,39241/223283,31/223283=0.0001,0.0003
0.5,0/115=0.000,8622/111685,0/111685=0.0000,0.0000
0.6,0/115=0.000,8622/111685,0/111685=0.0000,0.0000
0.7,0/115=0.000,8622/111685,0/111685=0.0000,0.0000
0.8,0/115=0.000,8622/111685,0/111685=0.0000,0.0000
0.9,0/115=0.000,8622/111685,0/111685=0.0000,0.0000
