Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,102/115=0.887,62517/193380,102/193380=0.0005,0.0011
0.1,102/115=0.887,59983/179572,102/179572=0.0006,0.0011
0.2,101/115=0.878,50728/150142,101/150142=0.0007,0.0013
0.3,31/115=0.270,43147/126047,31/126047=0.0002,0.0005
0.4,31/115=0.270,36963/104226,31/104226=0.0003,0.0006
0.5,0/115=0.000,7685/38391,0/38391=0.0000,0.0000
0.6,0/115=0.000,7685/38391,0/38391=0.0000,0.0000
0.7,0/115=0.000,7685/38391,0/38391=0.0000,0.0000
0.8,0/115=0.000,7685/38391,0/38391=0.0000,0.0000
0.9,0/115=0.000,7685/38391,0/38391=0.0000,0.0000
