Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,102/115=0.887,62517/194656,102/194656=0.0005,0.0010
0.1,102/115=0.887,59955/180138,102/180138=0.0006,0.0011
0.2,101/115=0.878,50588/150150,101/150150=0.0007,0.0013
0.3,31/115=0.270,43023/125874,31/125874=0.0002,0.0005
0.4,31/115=0.270,36546/103720,31/103720=0.0003,0.0006
0.5,0/115=0.000,7479/38049,0/38049=0.0000,0.0000
0.6,0/115=0.000,7479/38043,0/38043=0.0000,0.0000
0.7,0/115=0.000,7479/38043,0/38043=0.0000,0.0000
0.8,0/115=0.000,7479/38041,0/38041=0.0000,0.0000
0.9,0/115=0.000,7479/38041,0/38041=0.0000,0.0000
