Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,0/0=0.000,7000/7000,0/7000=0.0000,0.0000
0.1,0/0=0.000,6978/6978,0/6978=0.0000,0.0000
0.2,0/0=0.000,5651/5651,0/5651=0.0000,0.0000
0.3,0/0=0.000,1864/1864,0/1864=0.0000,0.0000
0.4,0/0=0.000,603/603,0/603=0.0000,0.0000
0.5,0/0=0.000,0/0,0/0=0.0000,0.0000
0.6,0/0=0.000,0/0,0/0=0.0000,0.0000
0.7,0/0=0.000,0/0,0/0=0.0000,0.0000
0.8,0/0=0.000,0/0,0/0=0.0000,0.0000
0.9,0/0=0.000,0/0,0/0=0.0000,0.0000
